distance,max_workload,#changed offices
154.615221487796,2.0,0
156.70732400284993,1.1049,0
162.6305634151781,1.0766,0
166.53355458416658,1.0642999999999998,0
182.83943560747628,1.0347,0
106.7132327169449,2.0,1
108.80533523199884,1.1049,1
112.62476118814021,1.0766,1
112.916199755518,1.0606,1
114.94458093965926,1.0347,1
105.05653000684552,1.1149,2
107.14863252189946,1.0866,2
110.1308979528074,1.0706,2
111.07508878302883,1.0439,2
111.7905994757414,1.0068000000000001,2
103.62671041188815,1.1307,3
105.05653000684552,1.1149,3
106.59785544391693,1.0866,3
109.97316061826024,1.0439,3
110.97119752528226,1.0068000000000001,3
103.56395980541879,2.0,4
105.05653000684552,1.1207,4
106.59785544391693,1.1049,4
109.3325398215409,1.0766,4
110.97119752528226,1.0339,4
